tradeoff	uninfected	susceptible_drugA	susceptible_drugB	resistantA_drugA	resistantA_drugB	resistantB_drugA	resistantB_drugB	multiResist_drugA	multiResist_drugB
0.35	0.33670378109895155	2.2604547524920346E-6	2.2604547524920346E-6	1.4488519447510109E-5	7.247282084850741E-6	7.247282084850741E-6	1.4488519447510109E-5	0.3316241131946868	0.3316241131946868
0.33999999999999997	0.33467546726403535	2.237211685937801E-6	2.237211685937801E-6	1.3725615568186247E-5	6.865281977587005E-6	6.865281977587005E-6	1.3725615568186247E-5	0.33263943827085674	0.33263943827085674
0.32999999999999996	0.3326714441034315	2.2148462892719866E-6	2.2148462892719866E-6	1.304926076371423E-5	6.526663326214917E-6	6.526663326214917E-6	1.304926076371423E-5	0.33364248718109657	0.33364248718109657
0.31999999999999995	0.33069127799624554	2.1933097726078153E-6	2.1933097726078153E-6	1.2445655614027226E-5	6.224504121786476E-6	6.224504121786476E-6	1.2445655614027226E-5	0.3346334975213593	0.3346334975213593
0.30999999999999994	0.32873454552215703	2.1725568969039206E-6	2.1725568969039206E-6	1.1903773548934195E-5	5.953273788817485E-6	5.953273788817485E-6	1.1903773548934195E-5	0.33561269760353957	0.33561269760353957
0.29999999999999993	0.3268008332272986	2.1525456553323514E-6	2.1525456553323514E-6	1.1414698307085467E-5	5.708500700588272E-6	5.708500700588272E-6	1.1414698307085467E-5	0.33658030766867014	0.33658030766867014
0.29000000000000004	0.324889737259948	2.133236991681621E-6	2.133236991681621E-6	1.0971142833340464E-5	5.486530713906926E-6	5.486530713906926E-6	1.0971142833340464E-5	0.33753654042725667	0.33753654042725667
0.28	0.32300086319940313	2.1145945446143837E-6	2.1145945446143837E-6	1.0567094093999772E-5	5.284348923785721E-6	5.284348923785721E-6	1.0567094093999772E-5	0.33848160233505303	0.33848160233505303
0.27	0.32113382571599297	2.096584418363819E-6	2.096584418363819E-6	1.0197546965649672E-5	5.099446103883516E-6	5.099446103883516E-6	1.0197546965649672E-5	0.3394156935766836	0.3394156935766836
0.26	0.31928824841306197	2.0791749790202105E-6	2.0791749790202105E-6	9.858302129040266E-6	4.92971727674475E-6	4.92971727674475E-6	9.858302129040266E-6	0.3403390086392758	0.3403390086392758
