tradeoff	uninfected	susceptible_drugA	susceptible_drugB	resistantA_drugA	resistantA_drugB	resistantB_drugA	resistantB_drugB	multiResist_drugA	multiResist_drugB
0.59	0.3691428054552495	2.8639035479777433E-6	2.8639035479777433E-6	0.20957510230871332	0.10583629888296317	0.10583629888296317	0.20957510230871332	1.4332211995050794E-5	1.4332211995050794E-5
0.5800000000000001	0.36914281432376916	2.8639037581133445E-6	2.8639037581133445E-6	0.20957382847294537	0.10583565715628082	0.10583565715628082	0.20957382847294537	1.6243309772783867E-5	1.6243309772783867E-5
0.5700000000000001	0.36914282712693913	2.8639040539047557E-6	2.8639040539047557E-6	0.20957217563370686	0.10583482471636667	0.10583482471636667	0.20957217563370686	1.872218240216239E-5	1.872218240216239E-5
0.56	0.3691428459861505	2.86390448056478E-6	2.86390448056478E-6	0.20956994336220905	0.10583370068267085	0.10583370068267085	0.20956994336220905	2.2069070663266818E-5	2.2069070663266818E-5
0.55	0.3691428748985022	2.8639051223635694E-6	2.8639051223635694E-6	0.20956675987703144	0.10583209803890412	0.10583209803890412	0.20956675987703144	2.6840729131557134E-5	2.6840729131557134E-5
0.54	0.3691429221209224	2.86390615536117E-6	2.86390615536117E-6	0.20956184993623292	0.10582962662584441	0.10582962662584441	0.20956184993623292	3.419847419719394E-5	3.419847419719394E-5
0.53	0.3691430082535524	2.863908013719448E-6	2.863908013719448E-6	0.20955328283231545	0.10582531505172926	0.10582531505172926	0.20955328283231545	4.703407453321201E-5	4.703407453321201E-5
0.52	0.36914320245009485	2.8639121617814376E-6	2.8639121617814376E-6	0.20953454406442623	0.10581588519686053	0.10581588519686053	0.20953454406442623	7.510555252136727E-5	7.510555252136727E-5
0.51	0.3691439783862885	2.8639286201409288E-6	2.8639286201409288E-6	0.2094610574669026	0.10577890691385385	0.10577890691385385	0.2094610574669026	1.8518250768785428E-4	1.8518250768785428E-4
0.5	0.3703687970399943	2.8897002036701683E-6	2.8897002036701683E-6	5.775454558750126E-4	2.9261262336413574E-4	2.9261262336413574E-4	5.775454558750126E-4	0.31394255370839835	0.31394255370839835
0.49	0.3679198805040071	2.8387229828730654E-6	2.8387229828730654E-6	1.5405412652439468E-4	7.802404834139145E-5	7.802404834139145E-5	1.5405412652439468E-4	0.315805142815166	0.315805142815166
0.48	0.3654999515844914	2.7904535363252804E-6	2.7904535363252804E-6	8.938295012181546E-5	4.525518919960179E-5	4.525518919960179E-5	8.938295012181546E-5	0.3171125956106506	0.3171125956106506
